2023-10-04 16:38:40,956.CM_SMARTSMOKER_PROD.INFO ==================================================
2023-10-04 16:38:40,957.CM_SMARTSMOKER_PROD.INFO Today is 2023-10-04 at 04:38 PM
2023-10-04 16:38:40,957.CM_SMARTSMOKER_PROD.INFO Running on: nt Windows 10
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO Python version:  3.11.5
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO Python path: C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.1520.0_x64__qbz5n2kfra8p0
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO Working dir: C:\Users\cori.tynes\Desktop\Documents_44671\MOD6\streaming-06-smart-smoker
2023-10-04 16:38:40,958.CM_SMARTSMOKER_PROD.INFO ==================================================
2023-10-04 16:38:44,826.CM_SMARTSMOKER_PROD.INFO Reading messages from smoker_temps_CM.csv...
2023-10-04 16:38:44,827.CM_SMARTSMOKER_PROD.INFO --- To close the program please select CTRL + c on your keyboard. ---
2023-10-04 16:39:37,824.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:32:15,No data received from row]'....
2023-10-04 16:39:39,834.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:33:10,106.2]'....
2023-10-04 16:39:39,846.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:33:10,No data received from row]'....
2023-10-04 16:39:39,855.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:33:10,No data received from row]'....
2023-10-04 16:39:41,866.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:33:15,106.2]'....
2023-10-04 16:39:41,879.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:33:15,No data received from row]'....
2023-10-04 16:39:41,890.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:33:15,No data received from row]'....
2023-10-04 16:39:43,901.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:34:10,103.5]'....
2023-10-04 16:39:43,916.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:34:10,No data received from row]'....
2023-10-04 16:39:43,925.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:34:10,No data received from row]'....
2023-10-04 16:39:45,936.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:34:15,103.5]'....
2023-10-04 16:39:45,950.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:34:15,No data received from row]'....
2023-10-04 16:39:45,960.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:34:15,No data received from row]'....
2023-10-04 16:39:47,970.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:35:10,105.3]'....
2023-10-04 16:39:47,982.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:35:10,No data received from row]'....
2023-10-04 16:39:47,993.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:35:10,No data received from row]'....
2023-10-04 16:39:50,004.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:35:15,105.3]'....
2023-10-04 16:39:50,014.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:35:15,No data received from row]'....
2023-10-04 16:39:50,023.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:35:15,No data received from row]'....
2023-10-04 16:39:52,037.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:36:10,106.9]'....
2023-10-04 16:39:52,049.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:36:10,No data received from row]'....
2023-10-04 16:39:52,060.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:36:10,No data received from row]'....
2023-10-04 16:39:54,070.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:36:15,106.9]'....
2023-10-04 16:39:54,088.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:36:15,No data received from row]'....
2023-10-04 16:39:54,099.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:36:15,No data received from row]'....
2023-10-04 16:39:56,109.CM_SMARTSMOKER_PROD.INFO Prepared binary message b'[05/22/21 12:37:10,111.9]'....
